Event	id_r	id_phi	id_eta	phi	phiB	quality	bx	pt
95	2	12	-1	-695	-4	6	0	133.877
95	3	12	-1	-699	-3	5	0	133.877
95	4	12	-1	-701	0	6	0	133.877
96	4	6	-1	104	1	6	0	75.1843
96	1	6	0	126	-10	6	0	75.1843
96	2	6	0	116	-14	2	0	75.1843
97	3	10	-1	90	-9	6	0	69.8061
97	4	10	-1	86	-2	5	0	69.8061
97	1	10	0	116	-39	2	0	69.8061
98	1	5	-2	267	-5	6	0	128.699
98	2	5	-2	262	-4	6	0	128.699
98	3	5	-2	258	-4	5	0	128.699
99	1	1	-1	470	-4	6	0	144.749
99	2	1	-1	464	-4	6	0	144.749
99	3	1	-1	460	-3	5	0	144.749
99	4	1	-1	459	-1	5	0	144.749
100	1	9	0	-588	-3	2	0	62.9747
100	2	9	0	-605	-9	6	0	62.9747
100	3	9	0	-616	-7	5	0	62.9747
101	3	10	-2	68	-3	6	0	31.9494
101	1	10	-1	105	-21	6	0	31.9494
102	1	9	0	34	-4	6	0	159.587
102	2	9	0	30	-3	6	0	159.587
102	4	9	1	27	-1	6	0	159.587
103	1	2	-1	-608	25	2	0	42.779
103	2	2	-1	-634	-14	5	0	42.779
103	3	2	-1	-648	-6	5	0	42.779
103	4	2	-1	-652	2	6	0	42.779
104	2	3	0	-783	-10	6	0	69.7265
104	3	3	0	-791	-6	4	0	69.7265
105	1	9	0	-342	-3	6	0	184.455
105	2	9	0	-346	-5	6	0	184.455
105	3	9	0	-350	-2	4	0	184.455
105	4	9	0	-351	-2	6	0	184.455
106	1	10	1	45	-16	6	0	39.3468
106	2	10	1	24	-11	6	0	39.3468
106	3	10	2	8	-9	6	0	39.3468
107	1	8	2	313	-39	3	0	64.8072
107	2	8	2	306	-7	5	0	64.8072
107	3	8	2	301	0	4	0	64.8072
108	4	2	-2	-1412	-4	5	0	72.9148
108	1	1	-1	759	-10	6	0	72.9148
108	2	1	-1	747	-9	6	0	72.9148
108	3	1	-1	738	-16	2	0	72.9148
109	1	8	-2	1100	-11	2	0	190.625
109	2	9	-2	-1047	-4	6	0	190.625
110	1	2	0	759	-10	6	0	61.2948
110	2	2	0	745	-9	6	0	61.2948
110	3	2	0	735	-15	2	0	61.2948
110	4	3	0	-1413	-2	6	0	61.2948
111	1	9	0	-532	-5	5	0	173.127
111	2	9	0	-536	16	3	0	173.127
111	3	9	0	-540	-4	6	0	173.127
112	1	8	-1	-15	1	3	0	46.9636
112	2	8	-1	-30	-11	6	0	46.9636
112	3	8	-1	-43	-9	6	0	46.9636
112	4	8	-1	-49	6	2	0	46.9636
113	3	8	-2	-829	2	2	0	131.584
