Event,n_Primitive,1dtPrimitive.id_r,2dtPrimitive.id_r,3dtPrimitive.id_r,4dtPrimitive.id_r,1dtPrimitive.id_eta,2dtPrimitive.id_eta,3dtPrimitive.id_eta,4dtPrimitive.id_eta,1dtPrimitive.id_phi,2dtPrimitive.id_phi,3dtPrimitive.id_phi,4dtPrimitive.id_phi,1dtPrimitive.phiGlb,2dtPrimitive.phiGlb,3dtPrimitive.phiGlb,4dtPrimitive.phiGlb,1dtPrimitive.phiB,2dtPrimitive.phiB,3dtPrimitive.phiB,4dtPrimitive.phiB,delta_phi12,delta_phi13,delta_phi14,delta_phi23,delta_phi24,delta_phi34,genParticle.pt
396.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.4864894151687622,0.4742823839187622,0.4640284776687622,0.4581691026687622,-43.0,-29.0,-24.0,-18.0,0.01220703125,0.0224609375,0.0283203125,0.01025390625,0.01611328125,0.005859375,18.25266456604004
397.0,3.0,1.0,1.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,8.0,8.0,7.0,0.0,3.4886777400970463,3.4874570369720463,3.487051725387573,0.0,-3.0,-2.0,-1.0,0.0,0.001220703125,0.0016260147094735444,3.4886777400970463,0.00040531158447354443,3.4874570369720463,3.487051725387573,129.94705200195312
398.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,2.805737972259521,2.803296566009521,2.801587581634521,2.801099300384521,-12.0,-7.0,-4.0,0.0,0.00244140625,0.004150390625,0.004638671875,0.001708984375,0.002197265625,0.00048828125,74.69182586669922
399.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,12.0,12.0,12.0,5.6851234436035165,5.6839027404785165,5.6829261779785165,5.6824378967285165,-4.0,-1.0,-3.0,14.0,0.001220703125,0.002197265625,0.002685546875,0.0009765625,0.00146484375,0.00048828125,168.62576293945312
400.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,8.0,9.0,8.0,0.0,3.9601132869720463,3.9575891494750977,3.9540097713470463,0.0,-12.0,-8.0,-21.0,0.0,0.0025241374969486863,0.006103515625,3.9601132869720463,0.0035793781280513137,3.9575891494750977,3.9540097713470463,64.66768646240234
401.0,1.0,1.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.3234034776687622,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.3234034776687622,0.3234034776687622,0.3234034776687622,0.0,0.0,0.0,113.5493392944336
402.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,5.0,0.0,0.0,2.419995784759521,2.419346332550049,0.0,0.0,-3.0,-1.0,0.0,0.0,0.0006494522094722122,2.419995784759521,2.419995784759521,2.419346332550049,2.419346332550049,0.0,177.95736694335938
403.0,2.0,1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,5.0,4.0,0.0,0.0,1.8578228950500488,1.8549760580062864,0.0,0.0,-5.0,-1.0,0.0,0.0,0.002846837043762429,1.8578228950500488,1.8578228950500488,1.8549760580062864,1.8549760580062864,0.0,95.77740478515624
404.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,4.58958625793457,4.58812141418457,4.58690071105957,4.58616828918457,-6.0,-5.0,-4.0,-1.0,0.00146484375,0.002685546875,0.00341796875,0.001220703125,0.001953125,0.000732421875,149.8746337890625
405.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,3.141836881637573,3.139639616012573,3.138174772262573,3.137442350387573,0.0,-4.0,-4.0,-6.0,0.002197265625,0.003662109375,0.00439453125,0.00146484375,0.002197265625,0.000732421875,121.95347595214844
406.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,1.4975541830062866,1.4943803548812866,1.4909623861312866,1.4897416830062866,-11.0,14.0,-8.0,-4.0,0.003173828125,0.006591796875,0.0078125,0.00341796875,0.004638671875,0.001220703125,58.78461074829102
407.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,3.0,3.0,0.0,0.8570120334625244,0.8477346897125244,0.8465139865875244,0.0,-34.0,-13.0,4.0,0.0,0.00927734375,0.010498046875,0.8570120334625244,0.001220703125,0.8477346897125244,0.8465139865875244,13.765122413635256
408.0,3.0,1.0,1.0,1.0,0.0,-1.0,-2.0,-2.0,0.0,2.0,2.0,2.0,0.0,0.5699855089187622,0.5677882432937622,0.5677882432937622,0.0,-3.0,-2.0,0.0,0.0,0.002197265625,0.002197265625,0.5699855089187622,0.0,0.5677882432937622,0.5677882432937622,155.93960571289062
409.0,3.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,5.0,5.0,5.0,0.0,2.255283832550049,2.251865863800049,2.251133441925049,0.0,19.0,-4.0,21.0,0.0,0.00341796875,0.004150390625,2.255283832550049,0.000732421875,2.251865863800049,2.251133441925049,139.9556884765625
410.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.6351710557937622,0.6307765245437622,0.6278468370437622,0.6268702745437622,-18.0,-12.0,-11.0,2.0,0.00439453125,0.00732421875,0.00830078125,0.0029296875,0.00390625,0.0009765625,42.11704635620117
411.0,4.0,1.0,1.0,1.0,1.0,-1.0,-2.0,-2.0,-2.0,11.0,11.0,11.0,11.0,5.096827507019043,5.094630241394043,5.093165397644043,5.092677116394043,20.0,-4.0,-3.0,22.0,0.002197265625,0.003662109375,0.004150390625,0.00146484375,0.001953125,0.00048828125,91.1597137451172
