Event,dtPrimitive.id_r,dtPrimitive.id_eta,dtPrimitive.id_phi,dtPrimitive.bxTrackFinder(),dtPrimitive.phiGlb(),dtPrimitive.bx
115,1,1,6,0,2.7915778160095215,0
115,2,1,6,0,2.7898688316345215,0
115,3,1,6,0,2.7886481285095215,0
115,4,2,6,0,2.7881598472595215,0
115,4,2,6,1,2.7876715660095215,1
116,3,-2,4,0,1.8220170736312866,0
116,4,-2,4,0,1.8212846517562866,0
116,1,-1,4,0,1.8259233236312866,0
116,2,-1,5,0,1.8241314888000488,0
117,3,-2,8,0,3.807281255722046,0
117,4,-2,8,0,3.807037115097046,0
117,1,-1,8,0,3.808990240097046,0
117,2,-1,8,0,3.808257818222046,0
118,2,-2,10,0,4.89818000793457,0
118,3,-2,10,0,4.89354133605957,0
119,4,1,7,0,3.4890048503875732,0
119,2,1,8,0,3.490386724472046,0
119,3,1,8,0,3.489410161972046,0
120,1,0,3,0,1.0196096897125244,0
120,2,0,3,0,1.0181448459625244,0
120,3,0,3,-4,1.0142385959625244,-4
120,3,0,3,-2,1.0120413303375244,-2
120,3,0,3,0,1.0161917209625244,0
120,4,0,3,0,1.0159475803375244,0
121,1,1,5,0,2.411289691925049,0
121,4,2,5,0,2.408604145050049,0
121,2,2,6,0,2.4099860191345215,0
122,3,-2,11,0,5.410792350769043,0
122,4,-2,12,0,5.410465240478516,0
122,1,-1,11,-5,5.369532585144043,-5
122,1,-1,11,0,5.413477897644043,0
122,1,-1,11,-2,5.383692741394043,-1
123,1,0,7,0,3.3828036785125732,0
123,4,1,7,0,3.3779208660125732,0
124,1,-1,10,0,4.62108039855957,0
124,2,-1,10,0,4.61497688293457,0
124,3,-1,10,-3,4.61839485168457,-3
124,3,-1,10,-2,4.61107063293457,-2
124,3,-1,10,0,4.60374641418457,0
124,4,-1,10,-7,4.60887336730957,-7
124,4,-1,10,0,4.60887336730957,0
125,1,0,12,0,5.622379302978516,0
125,2,0,12,-7,5.613834381103516,-7
125,2,0,12,-4,5.619205474853516,-4
125,3,0,12,0,5.612369537353516,0
125,4,0,12,0,5.611637115478516,0
126,4,-2,7,0,3.4299228191375732,0
126,1,-1,7,0,3.4318759441375732,0
126,2,-1,8,-5,3.431060552597046,-5
126,2,-1,8,0,3.431060552597046,0
127,3,-2,8,0,3.630523443222046,0
127,4,-2,8,0,3.630035161972046,0
127,1,-1,8,0,3.634185552597046,0
127,2,-1,8,0,3.631988286972046,0
128,1,1,9,0,4.069893836975098,0
128,2,1,9,0,4.060616493225098,0
128,3,1,9,-3,4.055245399475098,-3
128,3,1,9,-1,4.054512977600098,-1
129,1,0,6,0,2.9226813316345215,0
129,4,0,6,0,2.9204840660095215,0
129,2,0,7,0,2.9221103191375732,0
130,1,-1,4,0,1.4597123861312866,0
130,2,-1,4,0,1.4565385580062866,0
130,3,-1,4,0,1.4538530111312866,0
130,4,-1,4,-6,1.4526323080062866,-6
130,4,-1,4,-1,1.4296830892562866,-1
130,4,-1,4,0,1.4523881673812866,0
131,1,0,1,0,-0.031494140625,0
131,2,0,1,-5,-0.0703125,-5
131,2,0,1,0,-0.06640625,0
131,3,0,1,0,-0.09423828125,0
131,4,0,1,0,-0.107177734375,0
132,1,-2,2,0,0.4081202745437622,0
132,2,-2,2,0,0.4049464464187622,0
132,3,-2,2,0,0.4027491807937622,0
133,3,-2,7,-3,3.0236728191375732,-3
133,3,-2,7,-1,3.0217196941375732,-1
133,3,-2,7,0,3.0165927410125732,0
133,4,-2,7,0,3.0309970378875732,0
133,1,-1,7,0,3.0283114910125732,0
133,2,-1,7,0,3.0239169597625732,0
134,1,1,10,0,4.73924446105957,0
134,3,2,10,0,4.72093391418457,0
135,4,-2,3,0,1.0894339084625244,0
135,1,-1,3,-1,1.0952932834625244,-1
135,1,-1,3,0,1.1082327365875244,0
135,1,-1,3,-2,1.0655081272125244,-1
135,2,-1,3,-3,1.0916311740875244,-3
135,2,-1,3,-2,1.0928518772125244,-2
136,1,0,3,0,1.1721975803375244,0
136,2,0,3,0,1.1704885959625244,0
136,3,0,3,0,1.1682913303375244,0
136,4,0,3,0,1.1685354709625244,0
136,4,0,4,0,1.1686967611312866,0
137,2,0,9,0,3.9873743057250977,0
137,3,0,9,0,3.9866418838500977,0
138,1,0,6,0,2.6126227378845215,0
138,2,0,6,0,2.6084723472595215,0
138,4,0,6,0,2.6038336753845215,0
139,2,-1,6,0,2.7954840660095215,0
139,2,-1,6,1,2.7952399253845215,1
139,3,-1,6,0,2.7942633628845215,0
139,4,-1,6,0,2.7937750816345215,0
140,1,2,3,0,1.3184378147125244,0
140,3,2,3,0,1.3140432834625244,0
140,2,2,4,0,1.3159135580062866,0
141,1,1,5,0,2.142246723175049,0
141,2,1,5,0,2.113926410675049,0
141,3,1,5,0,2.095371723175049,0
141,4,1,5,0,2.088779926300049,0
142,4,0,4,0,1.9518998861312866,0
142,1,0,5,0,1.9823346138000488,0
142,2,0,5,0,1.9269146919250488,0
142,3,0,5,0,1.8968853950500488,0
143,1,0,8,0,3.630035161972046,0
143,2,0,8,0,3.624664068222046,0
143,4,1,8,0,3.619781255722046,0
