Event,dtPrimitive.id_r,dtPrimitive.id_eta,dtPrimitive.id_phi,dtPrimitive.phiGlb(),dtPrimitive.phiB,dtPrimitive.quality,genParticle.pt
91,1,1,6,2.8335700035095215,-3.0,4,127.23892211914062
91,3,1,6,2.8308844566345215,-2.0,6,127.23892211914062
92,1,1,10,4.78929328918457,-39.0,2,87.41117095947266
92,2,2,10,4.78660774230957,-4.0,6,87.41117095947266
92,3,2,10,4.78489875793457,-3.0,6,87.41117095947266
92,4,2,10,4.78416633605957,-36.0,2,87.41117095947266
93,1,1,5,2.275059223175049,-5.0,6,138.4904327392578
93,3,2,5,2.272617816925049,-15.0,3,138.4904327392578
94,3,-2,2,0.3983546495437622,-1.0,6,139.45755004882812
94,4,-2,2,0.3981105089187622,-1.0,6,139.45755004882812
94,1,-1,2,0.4005519151687622,12.0,3,139.45755004882812
95,1,-1,5,2.284336566925049,-15.0,6,43.767974853515625
95,2,-1,5,2.279209613800049,-12.0,6,43.767974853515625
95,3,-1,5,2.275547504425049,-8.0,6,43.767974853515625
95,4,-1,5,2.273838520050049,-4.0,6,43.767974853515625
96,2,-1,12,5.589908599853516,-4.0,6,133.8771209716797
96,3,-1,12,5.588932037353516,-3.0,5,133.8771209716797
96,4,-1,12,5.588443756103516,0.0,6,133.8771209716797
97,4,-1,6,2.6433844566345215,1.0,6,75.18434143066406
97,1,0,6,2.6487555503845215,-10.0,6,75.18434143066406
97,2,0,6,2.6463141441345215,-14.0,2,75.18434143066406
98,3,-1,10,4.73436164855957,-9.0,6,69.80613708496094
98,4,-1,10,4.73338508605957,-2.0,5,69.80613708496094
98,1,0,10,4.74070930480957,-39.0,2,69.80613708496094
99,1,-2,5,2.159580707550049,-5.0,6,128.69866943359375
99,2,-2,5,2.158360004425049,-4.0,6,128.69866943359375
99,3,-2,5,2.157383441925049,-4.0,5,128.69866943359375
100,1,-1,1,0.11474609375,-4.0,6,144.7489013671875
100,2,-1,1,0.11328125,-4.0,6,144.7489013671875
100,3,-1,1,0.1123046875,-3.0,5,144.7489013671875
100,4,-1,1,0.112060546875,-1.0,5,144.7489013671875
101,1,0,9,4.045235633850098,-3.0,2,62.97471618652344
101,2,0,9,4.041085243225098,-9.0,6,62.97471618652344
101,3,0,9,4.038399696350098,-7.0,5,62.97471618652344
102,3,-2,10,4.72899055480957,-3.0,6,31.949399948120117
102,1,-1,10,4.73802375793457,-21.0,6,31.949399948120117
103,1,0,9,4.197091102600098,-4.0,6,159.586669921875
103,2,0,9,4.196114540100098,-3.0,6,159.586669921875
103,4,1,9,4.195382118225098,-1.0,6,159.586669921875
104,1,-1,2,0.3751612901687622,25.0,2,42.778953552246094
104,2,-1,2,0.3688136339187622,-14.0,5,42.778953552246094
104,3,-1,2,0.3653956651687622,-6.0,5,42.778953552246094
104,4,-1,2,0.3644191026687622,2.0,6,42.778953552246094
105,2,0,3,0.8560354709625244,-10.0,6,69.72648620605469
105,3,0,3,0.8540823459625244,-6.0,4,69.72648620605469
106,1,0,9,4.105294227600098,-3.0,6,184.45465087890625
106,2,0,9,4.104317665100098,-5.0,6,184.45465087890625
106,3,0,9,4.103341102600098,-2.0,4,184.45465087890625
106,4,0,9,4.103096961975098,-2.0,6,184.45465087890625
107,1,1,10,4.72337532043457,-16.0,6,39.346778869628906
107,2,1,10,4.71824836730957,-11.0,6,39.346778869628906
107,3,2,10,4.71434211730957,-9.0,6,39.346778869628906
108,1,2,8,3.741607427597046,-39.0,3,64.8072280883789
108,2,2,8,3.739898443222046,-7.0,5,64.8072280883789
108,3,2,8,3.738677740097046,0.0,4,64.8072280883789
109,4,-2,2,0.178872212767601,-4.0,5,72.91478729248047
